DAY 13 - RATIO EDGE CASES
============================================================
ADANIPOWER Mar 2013 ROE Difference = 110.56 (Source=57.1, Engine=-53.46) | Category: Formula discrepancy
ADANIPOWER Mar 2013 ROCE Difference = 30.12 (Source=32.2, Engine=2.08) | Category: Source data issue
ADANIPOWER Mar 2014 ROE Difference = 61.55 (Source=57.1, Engine=-4.45) | Category: Source data issue
ADANIPOWER Mar 2014 ROCE Difference = 23.14 (Source=32.2, Engine=9.06) | Category: Source data issue
ADANIPOWER Mar 2015 ROE Difference = 71.35 (Source=57.1, Engine=-14.25) | Category: Source data issue
ADANIPOWER Mar 2015 ROCE Difference = 22.93 (Source=32.2, Engine=9.27) | Category: Source data issue
ADANIPOWER Mar 2016 ROE Difference = 49.72 (Source=57.1, Engine=7.38) | Category: Source data issue
ADANIPOWER Mar 2016 ROCE Difference = 17.58 (Source=32.2, Engine=14.62) | Category: Source data issue
ADANIPOWER Mar 2017 ROE Difference = 262.90 (Source=57.1, Engine=-205.80) | Category: Formula discrepancy
ADANIPOWER Mar 2017 ROCE Difference = 21.42 (Source=32.2, Engine=10.78) | Category: Source data issue
ADANIPOWER Mar 2018 ROE Difference = 293.66 (Source=57.1, Engine=-236.56) | Category: Formula discrepancy
ADANIPOWER Mar 2018 ROCE Difference = 22.08 (Source=32.2, Engine=10.12) | Category: Source data issue
ADANIPOWER Mar 2019 ROE Difference = 69.86 (Source=57.1, Engine=-12.76) | Category: Source data issue
ADANIPOWER Mar 2019 ROCE Difference = 23.09 (Source=32.2, Engine=9.11) | Category: Source data issue
ADANIPOWER Mar 2020 ROE Difference = 92.20 (Source=57.1, Engine=-35.10) | Category: Source data issue
ADANIPOWER Mar 2020 ROCE Difference = 22.90 (Source=32.2, Engine=9.30) | Category: Source data issue
ADANIPOWER Mar 2021 ROE Difference = 47.41 (Source=57.1, Engine=9.69) | Category: Source data issue
ADANIPOWER Mar 2021 ROCE Difference = 18.96 (Source=32.2, Engine=13.24) | Category: Source data issue
ADANIPOWER Mar 2022 ROE Difference = 30.49 (Source=57.1, Engine=26.61) | Category: Source data issue
ADANIPOWER Mar 2022 ROCE Difference = 17.58 (Source=32.2, Engine=14.62) | Category: Source data issue
ADANIPOWER Mar 2023 ROE Difference = 21.19 (Source=57.1, Engine=35.91) | Category: Source data issue
ADANIPOWER Mar 2023 ROCE Difference = 18.22 (Source=32.2, Engine=13.98) | Category: Source data issue
ADANIPOWER Mar 2024 ROE Difference = 8.82 (Source=57.1, Engine=48.28) | Category: Source data issue
ADANIPOWER Mar 2024 ROCE Difference = 8.76 (Source=32.2, Engine=23.44) | Category: Source data issue
AMBUJACEM Dec 2012 ROE Difference = 5.45 (Source=9.24, Engine=14.69) | Category: Source data issue
AMBUJACEM Dec 2012 ROCE Difference = 15.12 (Source=12.8, Engine=27.92) | Category: Source data issue
AMBUJACEM Dec 2014 ROE Difference = 5.53 (Source=9.24, Engine=14.77) | Category: Source data issue
AMBUJACEM Dec 2014 ROCE Difference = 6.34 (Source=12.8, Engine=19.14) | Category: Source data issue
AMBUJACEM Dec 2017 ROCE Difference = 5.84 (Source=12.8, Engine=18.64) | Category: Source data issue
AMBUJACEM Dec 2018 ROCE Difference = 5.10 (Source=12.8, Engine=17.90) | Category: Source data issue
AMBUJACEM Dec 2019 ROCE Difference = 6.26 (Source=12.8, Engine=19.06) | Category: Source data issue
AMBUJACEM Dec 2020 ROCE Difference = 8.75 (Source=12.8, Engine=21.55) | Category: Source data issue
AMBUJACEM Dec 2021 ROE Difference = 5.40 (Source=9.24, Engine=14.64) | Category: Source data issue
AMBUJACEM Dec 2021 ROCE Difference = 11.24 (Source=12.8, Engine=24.04) | Category: Source data issue
APOLLOHOSP Mar 2016 ROE Difference = 6.76 (Source=13.81, Engine=7.05) | Category: Source data issue
APOLLOHOSP Mar 2016 ROCE Difference = 6.11 (Source=17.2, Engine=11.09) | Category: Source data issue
APOLLOHOSP Mar 2017 ROE Difference = 9.86 (Source=13.81, Engine=3.95) | Category: Source data issue
APOLLOHOSP Mar 2017 ROCE Difference = 5.80 (Source=17.2, Engine=11.40) | Category: Source data issue
APOLLOHOSP Mar 2018 ROE Difference = 11.96 (Source=13.81, Engine=1.85) | Category: Source data issue
APOLLOHOSP Mar 2018 ROCE Difference = 5.21 (Source=17.2, Engine=11.99) | Category: Source data issue
APOLLOHOSP Mar 2019 ROE Difference = 7.81 (Source=13.81, Engine=6.00) | Category: Source data issue
APOLLOHOSP Mar 2020 ROCE Difference = 5.74 (Source=17.2, Engine=22.94) | Category: Source data issue
APOLLOHOSP Mar 2021 ROE Difference = 10.83 (Source=13.81, Engine=2.98) | Category: Source data issue
APOLLOHOSP Mar 2022 ROE Difference = 5.89 (Source=13.81, Engine=19.70) | Category: Source data issue
APOLLOHOSP Mar 2022 ROCE Difference = 5.39 (Source=17.2, Engine=22.59) | Category: Source data issue
ASIANPAINT Mar 2013 ROCE Difference = 6.04 (Source=41.75, Engine=47.79) | Category: Source data issue
ASIANPAINT Mar 2017 ROCE Difference = 5.08 (Source=41.75, Engine=36.67) | Category: Source data issue
ASIANPAINT Mar 2018 ROE Difference = 6.50 (Source=31.45, Engine=24.95) | Category: Source data issue
ASIANPAINT Mar 2018 ROCE Difference = 5.92 (Source=41.75, Engine=35.83) | Category: Source data issue
ASIANPAINT Mar 2019 ROE Difference = 8.14 (Source=31.45, Engine=23.31) | Category: Source data issue
ASIANPAINT Mar 2019 ROCE Difference = 6.86 (Source=41.75, Engine=34.89) | Category: Source data issue
ASIANPAINT Mar 2021 ROE Difference = 6.41 (Source=31.45, Engine=25.04) | Category: Source data issue
ASIANPAINT Mar 2021 ROCE Difference = 6.81 (Source=41.75, Engine=34.94) | Category: Source data issue
ASIANPAINT Mar 2022 ROE Difference = 9.11 (Source=31.45, Engine=22.34) | Category: Source data issue
